,ns,host,time,value,plugin_running_on,swan_loadpoint_qps,achieved_qps_percent,swan_experiment,swan_aggressor_name,swan_phase,swan_repetition,throughputs
1050,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-20 05:21:04.520,294.18539,ovh8,75000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 2;,0,
1051,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 15:16:43.641,54.8,ovh8,200000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,Caffe,Aggressor Caffe; load point 7;,0,55.0
1052,/intel/swan/mutilate/ovh8/percentile/99th,ovh8,2016-12-19 22:58:49.547,534.0,ovh8,500000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 19;,0,
1053,/intel/swan/mutilate/ovh8/percentile/99_000000th/custom,ovh8,2016-12-19 18:23:15.861,305.24674,ovh8,225000,99.98%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 8;,0,
1054,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 22:32:15.710,60.2,ovh8,425000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 16;,0,
1055,/intel/swan/mutilate/ovh8/percentile/90th,ovh8,2016-12-20 01:47:44.393,334.0,ovh8,475000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,memBW,Aggressor memBW; load point 18;,0,
1056,/intel/swan/mutilate/ovh8/min,ovh8,2016-12-19 19:52:02.675,66.3,ovh8,475000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,Stream 100M,Aggressor Stream 100M; load point 18;,0,
1057,/intel/swan/mutilate/ovh8/avg,ovh8,2016-12-19 22:41:07.664,246.6,ovh8,450000,100.01%,7be3c448-4fa2-4178-75aa-e23d292d4030,L3 Data,Aggressor L3 Data; load point 17;,0,
1058,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-20 06:41:19.339,122.7,ovh8,300000,100.00%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 11;,0,
1059,/intel/swan/mutilate/ovh8/percentile/10th,ovh8,2016-12-20 07:43:23.736,168.4,ovh8,475000,99.99%,7be3c448-4fa2-4178-75aa-e23d292d4030,L1 Data,Aggressor L1 Data; load point 18;,0,
